,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,cluster,crossing_boolean
0,0.0,0.0,0.0,26.286896,115.06243,0.0,0.0,0.0,0.0,0.0,87.016,121.89203,71.23765,162.11975,8.422722,0.0,95.9912,61.057774,0.0,69.27266,133.66823,110.38664,73.04676,179.73785,55.35946,57.50849,126.49946,133.09492,70.44742,8.126037,122.817,0.0,187.12866,34.57431,0.0,201.2315,0.0,126.313614,0.0,44.41592,0.0,0.0,25.869276,0.0,48.800777,45.857574,0.0,0.0,106.87453,165.69449,0.0,0.0,0.0,0.0,0.0,0.0,0.666314,0.0,146.62883,0.0,0.0,14.024362,0.0,0.0,46,1
20,0.0,0.0,0.0,26.291811,115.08364,0.0,0.0,0.0,0.0,0.0,87.03207,121.91444,71.25073,162.14966,8.42433,0.0,96.00888,61.069046,0.0,69.285385,133.69292,110.40695,73.06022,179.77103,55.369602,57.519123,126.52277,133.11949,70.46047,8.1276,122.83968,0.0,187.16309,34.580692,0.0,201.26866,0.0,126.33692,0.0,44.42403,0.0,0.0,25.874056,0.0,48.809776,45.866104,0.0,0.0,106.89425,165.72507,0.0,0.0,0.0,0.0,0.0,0.0,0.666445,0.0,146.65591,0.0,0.0,14.026879,0.0,0.0,46,1
152,0.0,0.0,0.0,26.28725,115.063965,0.0,0.0,0.0,0.0,0.0,87.01716,121.89365,71.238594,162.12192,8.422839,0.0,95.992485,61.058586,0.0,69.273575,133.67001,110.38811,73.04774,179.74025,55.360195,57.509254,126.50114,133.09671,70.448364,8.126147,122.81864,0.0,187.13115,34.57477,0.0,201.23419,0.0,126.3153,0.0,44.416508,0.0,0.0,25.869621,0.0,48.801426,45.85819,0.0,0.0,106.87595,165.6967,0.0,0.0,0.0,0.0,0.0,0.0,0.6663222,0.0,146.63078,0.0,0.0,14.024541,0.0,0.0,46,1
165,0.0,0.0,0.0,26.287113,115.06338,0.0,0.0,0.0,0.0,0.0,87.016716,121.89302,71.23823,162.12108,8.422794,0.0,95.99199,61.058273,0.0,69.273224,133.66931,110.38754,73.04736,179.73932,55.359913,57.50896,126.50049,133.09602,70.448,8.126105,122.81801,0.0,187.13019,34.574593,0.0,201.23315,0.0,126.31465,0.0,44.41628,0.0,0.0,25.86949,0.0,48.801178,45.857952,0.0,0.0,106.875404,165.69585,0.0,0.0,0.0,0.0,0.0,0.0,0.6663194,0.0,146.63002,0.0,0.0,14.024471,0.0,0.0,46,1
166,0.0,0.0,0.0,26.286568,115.06102,0.0,0.0,0.0,0.0,0.0,87.01493,121.89053,71.23677,162.11775,8.422617,0.0,95.99002,61.05702,0.0,69.27181,133.66658,110.385284,73.04587,179.73564,55.358784,57.50778,126.497894,133.09329,70.44655,8.125934,122.81549,0.0,187.12637,34.573883,0.0,201.22903,0.0,126.31206,0.0,44.415382,0.0,0.0,25.868956,0.0,48.80018,45.857002,0.0,0.0,106.873215,165.69246,0.0,0.0,0.0,0.0,0.0,0.0,0.6663026,0.0,146.62701,0.0,0.0,14.024193,0.0,0.0,46,1
171,0.0,0.0,0.0,26.287195,115.06373,0.0,0.0,0.0,0.0,0.0,87.01698,121.8934,71.23845,162.12158,8.42282,0.0,95.99229,61.05846,0.0,69.27344,133.66974,110.387886,73.047585,179.73988,55.360085,57.509136,126.50088,133.09644,70.44822,8.126131,122.81839,0.0,187.13077,34.5747,0.0,201.23378,0.0,126.31504,0.0,44.416416,0.0,0.0,25.869568,0.0,48.80133,45.858093,0.0,0.0,106.87573,165.69637,0.0,0.0,0.0,0.0,0.0,0.0,0.66632104,0.0,146.63048,0.0,0.0,14.024515,0.0,0.0,46,1
247,0.0,0.0,0.0,26.289778,115.07487,0.0,0.0,0.0,0.0,0.0,87.02541,121.90516,71.245316,162.13727,8.423662,0.0,96.001564,61.06438,0.0,69.28012,133.6827,110.398544,73.05465,179.7573,55.365402,57.514717,126.51312,133.10933,70.45507,8.126951,122.83029,0.0,187.14883,34.57805,0.0,201.2533,0.0,126.32728,0.0,44.420673,0.0,0.0,25.872076,0.0,48.80605,45.86257,0.0,0.0,106.886086,165.71242,0.0,0.0,0.0,0.0,0.0,0.0,0.66639143,0.0,146.6447,0.0,0.0,14.025836,0.0,0.0,46,1
349,0.0,0.0,0.0,26.286291,115.05982,0.0,0.0,0.0,0.0,0.0,87.01403,121.889275,71.23604,162.11609,8.422524,0.0,95.98904,61.05639,0.0,69.271095,133.66519,110.38415,73.04511,179.73378,55.35821,57.50718,126.49659,133.09192,70.445816,8.125846,122.814224,0.0,187.12444,34.573524,0.0,201.22694,0.0,126.31075,0.0,44.414925,0.0,0.0,25.868692,0.0,48.799667,45.856525,0.0,0.0,106.87211,165.69075,0.0,0.0,0.0,0.0,0.0,0.0,0.666297,0.0,146.6255,0.0,0.0,14.02405,0.0,0.0,46,1
420,0.0,0.0,0.0,26.288649,115.06999,0.0,0.0,0.0,0.0,0.0,87.02173,121.90002,71.24231,162.13042,8.423295,0.0,95.997505,61.06179,0.0,69.2772,133.67703,110.39388,73.05156,179.74968,55.36307,57.51228,126.50777,133.10368,70.45208,8.126593,122.82509,0.0,187.14093,34.576584,0.0,201.24475,0.0,126.32192,0.0,44.41881,0.0,0.0,25.870981,0.0,48.80398,45.860615,0.0,0.0,106.88156,165.7054,0.0,0.0,0.0,0.0,0.0,0.0,0.666361,0.0,146.63849,0.0,0.0,14.025259,0.0,0.0,46,1
476,0.0,0.0,0.0,26.28558,115.056755,0.0,0.0,0.0,0.0,0.0,87.0117,121.88604,71.234146,162.11176,8.422292,0.0,95.98648,61.054756,0.0,69.26926,133.66162,110.38121,73.04317,179.72897,55.35675,57.505646,126.49322,133.08836,70.44393,8.12562,122.81094,0.0,187.11946,34.5726,0.0,201.22157,0.0,126.30738,0.0,44.413754,0.0,0.0,25.867998,0.0,48.798374,45.85529,0.0,0.0,106.869255,165.68633,0.0,0.0,0.0,0.0,0.0,0.0,0.6662769,0.0,146.62158,0.0,0.0,14.023687,0.0,0.0,46,1
477,0.0,0.0,0.0,26.287895,115.06675,0.0,0.0,0.0,0.0,0.0,87.01927,121.89659,71.24031,162.12584,8.423049,0.0,95.9948,61.060066,0.0,69.275246,133.67325,110.39077,73.0495,179.7446,55.361523,57.510647,126.504196,133.09993,70.45007,8.126354,122.82162,0.0,187.13567,34.575607,0.0,201.23906,0.0,126.31836,0.0,44.417572,0.0,0.0,25.87025,0.0,48.80261,45.85931,0.0,0.0,106.87854,165.70071,0.0,0.0,0.0,0.0,0.0,0.0,0.6663381,0.0,146.63434,0.0,0.0,14.024871,0.0,0.0,46,1
478,0.0,0.0,0.0,26.287642,115.06564,0.0,0.0,0.0,0.0,0.0,87.01843,121.895424,71.23963,162.12428,8.422965,0.0,95.99389,61.059483,0.0,69.27459,133.67197,110.389725,73.048805,179.74289,55.360996,57.5101,126.50299,133.09866,70.449394,8.126275,122.82044,0.0,187.13388,34.575275,0.0,201.23715,0.0,126.317154,0.0,44.417152,0.0,0.0,25.87,0.0,48.802143,45.858868,0.0,0.0,106.87752,165.69913,0.0,0.0,0.0,0.0,0.0,0.0,0.66633195,0.0,146.63293,0.0,0.0,14.02474,0.0,0.0,46,1
479,0.0,0.0,0.0,26.287436,115.064766,0.0,0.0,0.0,0.0,0.0,87.01777,121.89449,71.23909,162.12305,8.422898,0.0,95.99315,61.059013,0.0,69.27406,133.67094,110.38888,73.04824,179.7415,55.36058,57.509663,126.50202,133.09764,70.44886,8.126209,122.819496,0.0,187.13245,34.575012,0.0,201.2356,0.0,126.316185,0.0,44.416813,0.0,0.0,25.869804,0.0,48.801765,45.858513,0.0,0.0,106.8767,165.69786,0.0,0.0,0.0,0.0,0.0,0.0,0.6663288,0.0,146.6318,0.0,0.0,14.024638,0.0,0.0,46,1
480,0.0,0.0,0.0,26.286982,115.0628,0.0,0.0,0.0,0.0,0.0,87.01627,121.89242,71.23787,162.12027,8.422749,0.0,95.99151,61.057964,0.0,69.27288,133.66866,110.38699,73.047,179.73842,55.359634,57.50867,126.499855,133.09535,70.44764,8.126062,122.8174,0.0,187.12926,34.57442,0.0,201.23215,0.0,126.31402,0.0,44.41606,0.0,0.0,25.86936,0.0,48.800934,45.85772,0.0,0.0,106.87487,165.69502,0.0,0.0,0.0,0.0,0.0,0.0,0.6663148,0.0,146.62929,0.0,0.0,14.024403,0.0,0.0,46,1
481,0.0,0.0,0.0,26.287811,115.066376,0.0,0.0,0.0,0.0,0.0,87.01899,121.8962,71.24008,162.12532,8.423022,0.0,95.99449,61.059868,0.0,69.275024,133.67282,110.39042,73.04927,179.74403,55.361347,57.51047,126.5038,133.0995,70.449844,8.1263275,122.82123,0.0,187.13507,34.575497,0.0,201.23843,0.0,126.317955,0.0,44.41743,0.0,0.0,25.870167,0.0,48.802452,45.85916,0.0,0.0,106.8782,165.7002,0.0,0.0,0.0,0.0,0.0,0.0,0.6663373,0.0,146.63387,0.0,0.0,14.02483,0.0,0.0,46,1
490,0.0,0.0,0.0,26.286343,115.06004,0.0,0.0,0.0,0.0,0.0,87.01419,121.8895,71.236176,162.1164,8.422542,0.0,95.98921,61.056503,0.0,69.271225,133.66545,110.38435,73.04525,179.73412,55.358322,57.50729,126.49683,133.09218,70.44595,8.12586,122.81445,0.0,187.1248,34.57359,0.0,201.22733,0.0,126.31099,0.0,44.41501,0.0,0.0,25.868742,0.0,48.799763,45.856613,0.0,0.0,106.872314,165.69106,0.0,0.0,0.0,0.0,0.0,0.0,0.6662961,0.0,146.62578,0.0,0.0,14.024077,0.0,0.0,46,1
491,0.0,0.0,0.0,26.285799,115.0577,0.0,0.0,0.0,0.0,0.0,87.01241,121.88703,71.234726,162.11308,8.422364,0.0,95.98726,61.055256,0.0,69.26982,133.66272,110.38211,73.04376,179.73044,55.357197,57.50612,126.494255,133.08946,70.44451,8.1256895,122.81195,0.0,187.12099,34.572884,0.0,201.22322,0.0,126.30842,0.0,44.414112,0.0,0.0,25.868212,0.0,48.798767,45.85567,0.0,0.0,106.870125,165.68768,0.0,0.0,0.0,0.0,0.0,0.0,0.6662823,0.0,146.62279,0.0,0.0,14.023796,0.0,0.0,46,1
492,0.0,0.0,0.0,26.2861,115.059,0.0,0.0,0.0,0.0,0.0,87.0134,121.8884,71.23553,162.11491,8.422462,0.0,95.98834,61.055946,0.0,69.2706,133.66423,110.383354,73.044586,179.73247,55.357815,57.506763,126.495674,133.09096,70.44531,8.125784,122.81333,0.0,187.1231,34.573273,0.0,201.2255,0.0,126.30984,0.0,44.414608,0.0,0.0,25.868502,0.0,48.79932,45.85619,0.0,0.0,106.87133,165.68954,0.0,0.0,0.0,0.0,0.0,0.0,0.66629314,0.0,146.62444,0.0,0.0,14.023951,0.0,0.0,46,1
496,0.0,0.0,0.0,26.28845,115.069145,0.0,0.0,0.0,0.0,0.0,87.02108,121.89912,71.24179,162.12921,8.423231,0.0,95.996796,61.06134,0.0,69.27669,133.67603,110.39307,73.051025,179.74834,55.36267,57.511852,126.506836,133.1027,70.451546,8.126532,122.82418,0.0,187.13956,34.57633,0.0,201.24327,0.0,126.32099,0.0,44.418488,0.0,0.0,25.870787,0.0,48.803627,45.86027,0.0,0.0,106.88077,165.70416,0.0,0.0,0.0,0.0,0.0,0.0,0.6663551,0.0,146.63739,0.0,0.0,14.025159,0.0,0.0,46,1
499,0.0,0.0,0.0,26.288837,115.070816,0.0,0.0,0.0,0.0,0.0,87.022354,121.90089,71.24282,162.13158,8.423357,0.0,95.99819,61.062225,0.0,69.27769,133.67798,110.39467,73.05208,179.75096,55.36347,57.512695,126.50867,133.10464,70.452576,8.126654,122.825966,0.0,187.14227,34.57683,0.0,201.2462,0.0,126.32283,0.0,44.41913,0.0,0.0,25.871164,0.0,48.804337,45.860947,0.0,0.0,106.88232,165.70657,0.0,0.0,0.0,0.0,0.0,0.0,0.66636574,0.0,146.63953,0.0,0.0,14.025358,0.0,0.0,46,1
500,0.0,0.0,0.0,26.288433,115.06907,0.0,0.0,0.0,0.0,0.0,87.02102,121.89903,71.24174,162.1291,8.4232235,0.0,95.99673,61.061295,0.0,69.276634,133.67593,110.39299,73.050964,179.74823,55.362633,57.511814,126.506744,133.10262,70.4515,8.126525,122.8241,0.0,187.13943,34.5763,0.0,201.24312,0.0,126.3209,0.0,44.418457,0.0,0.0,25.870771,0.0,48.803593,45.86024,0.0,0.0,106.88069,165.70406,0.0,0.0,0.0,0.0,0.0,0.0,0.66635466,0.0,146.6373,0.0,0.0,14.0251465,0.0,0.0,46,1
501,0.0,0.0,0.0,26.28814,115.067795,0.0,0.0,0.0,0.0,0.0,87.020065,121.8977,71.24096,162.12732,8.423128,0.0,95.995674,61.060623,0.0,69.27588,133.67447,110.39178,73.05017,179.74625,55.362022,57.511177,126.50535,133.10115,70.45072,8.1264305,122.82274,0.0,187.13737,34.575924,0.0,201.2409,0.0,126.31951,0.0,44.417973,0.0,0.0,25.870485,0.0,48.80305,45.85973,0.0,0.0,106.87952,165.70222,0.0,0.0,0.0,0.0,0.0,0.0,0.66634494,0.0,146.63568,0.0,0.0,14.024999,0.0,0.0,46,1
513,0.0,0.0,0.0,26.2918,115.08359,0.0,0.0,0.0,0.0,0.0,87.03202,121.914375,71.2507,162.14957,8.424324,0.0,96.00883,61.06901,0.0,69.28535,133.69284,110.40689,73.06018,179.77094,55.36957,57.519093,126.522705,133.11942,70.460434,8.127595,122.83962,0.0,187.163,34.580673,0.0,201.26857,0.0,126.33686,0.0,44.42401,0.0,0.0,25.874043,0.0,48.809753,45.86608,0.0,0.0,106.894196,165.72498,0.0,0.0,0.0,0.0,0.0,0.0,0.6664467,0.0,146.65584,0.0,0.0,14.026876,0.0,0.0,46,1
